,Forecast,Lower CI,Upper CI
2018-01-31,43779.9240146455,14522.280278778504,73037.56775051249
2018-02-28,34645.61785147399,315.2907983875557,68975.94490456043
2018-03-31,70715.33645351406,34267.27835259667,107163.39455443143
2018-04-30,54275.31875312567,16647.519578164625,91903.11792808672
2018-05-31,62701.48730206837,24256.91700863879,101146.05759549796
2018-06-30,63612.261423598895,24510.152175752606,102714.37067144518
2018-07-31,59720.257527132824,20037.085318408754,99403.42973585689
2018-08-31,68048.34833757608,27823.712777088367,108272.9838980638
2018-09-30,98285.87256834112,57541.84375484253,139029.9013818397
2018-10-31,82608.13045768738,41357.92178730125,123858.33912807351
2018-11-30,117466.75335421316,75718.6735173837,159214.83319104262
2018-12-31,102350.00780365063,60109.37703915666,144590.6385681446
